name,subset,value,percent,range_0,range_100,r_squared,p_value,stderr,note
# Studies,,26,,,,,,,
# Sequences,,11258,,,,,,,
# Sequences,Gene=PR,8976,79.730%,,,,,,
# Sequences,"Gene=PR, NumAPOBECs=1",50,0.444%,,,,,,
# Sequences,"Gene=PR, NumAPOBECs=2",3,0.027%,,,,,,
# Sequences,"Gene=PR, NumAPOBECs>=3",1,0.009%,,,,,,
# Sequences,Gene=RT,10267,91.197%,,,,,,
# Sequences,"Gene=RT, MinPos=1, MaxPos=240, NumAPOBECs=1",114,1.013%,,,,,,
# Sequences,"Gene=RT, MinPos=1, MaxPos=240, NumAPOBECs=2",17,0.151%,,,,,,
# Sequences,"Gene=RT, MinPos=1, MaxPos=240, NumAPOBECs>=3",16,0.142%,,,,,,
# Sequences,Gene=IN,5438,48.303%,,,,,,
# Sequences,"Gene=IN, NumAPOBECs=1",85,0.755%,,,,,,
# Sequences,"Gene=IN, NumAPOBECs=2",13,0.115%,,,,,,
# Sequences,"Gene=IN, NumAPOBECs>=3",11,0.098%,,,,,,
# Sequences,"Gene=PR, FirstAA=1, LastAA=99",8950,79.499%,,,,,,
# Sequences,"Gene=RT, FirstAA=1, LastAA>=240",8302,73.743%,,,,,,
# Sequences,"Gene=RT, FirstAA=1, LastAA=560",4844,43.027%,,,,,,
# Sequences,"Gene=IN, FirstAA=1, LastAA=288",2748,24.409%,,,,,,
# Sequences,Subtype=B,7198,63.937%,,,,,,
# Sequences,Subtype=C,2749,24.418%,,,,,,
# Sequences,Subtype=Other,1311,11.645%,,,,,,
# Patients,,345,,,,,,,
# Patients,Gene=PR,310,89.855%,,,,,,
# Patients,Gene=RT,328,95.072%,,,,,,
# Patients,Gene=IN,233,67.536%,,,,,,
# Patients,Subtype=B,185,53.623%,,,,,,
# Patients,"Subtype=B, Gene=PR",153,44.348%,,,,,,
# Patients,"Subtype=B, Gene=RT",170,49.275%,,,,,,
# Patients,"Subtype=B, Gene=IN",98,28.406%,,,,,,
# Patients,Subtype=C,109,31.594%,,,,,,
# Patients,"Subtype=C, Gene=PR",107,31.014%,,,,,,
# Patients,"Subtype=C, Gene=RT",108,31.304%,,,,,,
# Patients,"Subtype=C, Gene=IN",108,31.304%,,,,,,
# Patients,Subtype=Other,62,17.971%,,,,,,
# Patients,"Subtype=Other, Gene=PR",51,14.783%,,,,,,
# Patients,"Subtype=Other, Gene=RT",51,14.783%,,,,,,
# Patients,"Subtype=Other, Gene=IN",29,8.406%,,,,,,
# Patients,Rx=ART,32,9.275%,,,,,,
# Patients,"Rx=ART, Gene=PR",21,6.087%,,,,,,
# Patients,"Rx=ART, Gene=RT",29,8.406%,,,,,,
# Patients,"Rx=ART, Gene=IN",6,1.739%,,,,,,
# Patients,Rx=None,317,91.884%,,,,,,
# Patients,"Rx=None, Gene=PR",293,84.928%,,,,,,
# Patients,"Rx=None, Gene=RT",303,87.826%,,,,,,
# Patients,"Rx=None, Gene=IN",231,66.957%,,,,,,
# Patients,Rx=Unknown,0,0.000%,,,,,,
# Patients,"Rx=Unknown, Gene=PR",0,0.000%,,,,,,
# Patients,"Rx=Unknown, Gene=RT",0,0.000%,,,,,,
# Patients,"Rx=Unknown, Gene=IN",0,0.000%,,,,,,
# Patients,NumSample=1,227,65.797%,,,,,,
# Patients,NumSample>1,118,34.203%,,,,,,
# Samples (Patient Time Points),,963,,,,,,,
# Samples (Patient Time Points),Gene=PR,681,70.717%,,,,,,
# Samples (Patient Time Points),Gene=RT,929,96.469%,,,,,,
# Samples (Patient Time Points),Gene=IN,422,43.821%,,,,,,
# Samples (Patient Time Points),Subtype=B,613,63.655%,,,,,,
# Samples (Patient Time Points),Subtype=C,217,22.534%,,,,,,
# Samples (Patient Time Points),Subtype=Other,145,15.057%,,,,,,
# Samples (Patient Time Points),Rx=ART,278,28.868%,,,,,,
# Samples (Patient Time Points),Rx=None,685,71.132%,,,,,,
# Samples (Patient Time Points),Rx=Unknown,0,0.000%,,,,,,
Med. Samples per Patient,,1.0,,1.0,42.0,,,,IQR: 1.0 - 3.0; Mean: 2.791304347826087
Med. Sequences per Sample,,9.0,,1.0,166.0,,,,IQR: 2.0 - 17.0; Mean: 11.69055036344756
# Studies,SequencesPerSample>9,25,,,,,,,
# Sequences,SequencesPerSample>9,9326,,,,,,,
# Sequences,"SequencesPerSample>9, Gene=PR",7831,83.970%,,,,,,
# Sequences,"SequencesPerSample>9, Gene=PR, NumAPOBECs=1",45,0.483%,,,,,,
# Sequences,"SequencesPerSample>9, Gene=PR, NumAPOBECs=2",3,0.032%,,,,,,
# Sequences,"SequencesPerSample>9, Gene=PR, NumAPOBECs>=3",1,0.011%,,,,,,
# Sequences,"SequencesPerSample>9, Gene=RT",8493,91.068%,,,,,,
# Sequences,"SequencesPerSample>9, Gene=RT, MinPos=1, MaxPos=240, NumAPOBECs=1",97,1.040%,,,,,,
# Sequences,"SequencesPerSample>9, Gene=RT, MinPos=1, MaxPos=240, NumAPOBECs=2",16,0.172%,,,,,,
# Sequences,"SequencesPerSample>9, Gene=RT, MinPos=1, MaxPos=240, NumAPOBECs>=3",14,0.150%,,,,,,
# Sequences,"SequencesPerSample>9, Gene=IN",4506,48.317%,,,,,,
# Sequences,"SequencesPerSample>9, Gene=IN, NumAPOBECs=1",68,0.729%,,,,,,
# Sequences,"SequencesPerSample>9, Gene=IN, NumAPOBECs=2",10,0.107%,,,,,,
# Sequences,"SequencesPerSample>9, Gene=IN, NumAPOBECs>=3",9,0.097%,,,,,,
# Sequences,"SequencesPerSample>9, Gene=PR, FirstAA=1, LastAA=99",7808,83.723%,,,,,,
# Sequences,"SequencesPerSample>9, Gene=RT, FirstAA=1, LastAA>=240",7321,78.501%,,,,,,
# Sequences,"SequencesPerSample>9, Gene=RT, FirstAA=1, LastAA=560",3942,42.269%,,,,,,
# Sequences,"SequencesPerSample>9, Gene=IN, FirstAA=1, LastAA=288",2211,23.708%,,,,,,
# Sequences,"SequencesPerSample>9, Subtype=B",6126,65.687%,,,,,,
# Sequences,"SequencesPerSample>9, Subtype=C",2154,23.097%,,,,,,
# Sequences,"SequencesPerSample>9, Subtype=Other",1046,11.216%,,,,,,
# Patients,SequencesPerSample>9,221,,,,,,,
# Patients,"SequencesPerSample>9, Gene=PR",195,88.235%,,,,,,
# Patients,"SequencesPerSample>9, Gene=RT",206,93.213%,,,,,,
# Patients,"SequencesPerSample>9, Gene=IN",143,64.706%,,,,,,
# Patients,"SequencesPerSample>9, Subtype=B",154,69.683%,,,,,,
# Patients,"SequencesPerSample>9, Subtype=B, Gene=PR",130,58.824%,,,,,,
# Patients,"SequencesPerSample>9, Subtype=B, Gene=RT",140,63.348%,,,,,,
# Patients,"SequencesPerSample>9, Subtype=B, Gene=IN",81,36.652%,,,,,,
# Patients,"SequencesPerSample>9, Subtype=C",46,20.814%,,,,,,
# Patients,"SequencesPerSample>9, Subtype=C, Gene=PR",44,19.910%,,,,,,
# Patients,"SequencesPerSample>9, Subtype=C, Gene=RT",45,20.362%,,,,,,
# Patients,"SequencesPerSample>9, Subtype=C, Gene=IN",45,20.362%,,,,,,
# Patients,"SequencesPerSample>9, Subtype=Other",32,14.480%,,,,,,
# Patients,"SequencesPerSample>9, Subtype=Other, Gene=PR",22,9.955%,,,,,,
# Patients,"SequencesPerSample>9, Subtype=Other, Gene=RT",22,9.955%,,,,,,
# Patients,"SequencesPerSample>9, Subtype=Other, Gene=IN",19,8.597%,,,,,,
# Patients,"SequencesPerSample>9, Rx=ART",21,9.502%,,,,,,
# Patients,"SequencesPerSample>9, Rx=ART, Gene=PR",18,8.145%,,,,,,
# Patients,"SequencesPerSample>9, Rx=ART, Gene=RT",18,8.145%,,,,,,
# Patients,"SequencesPerSample>9, Rx=ART, Gene=IN",4,1.810%,,,,,,
# Patients,"SequencesPerSample>9, Rx=None",201,90.950%,,,,,,
# Patients,"SequencesPerSample>9, Rx=None, Gene=PR",178,80.543%,,,,,,
# Patients,"SequencesPerSample>9, Rx=None, Gene=RT",189,85.520%,,,,,,
# Patients,"SequencesPerSample>9, Rx=None, Gene=IN",140,63.348%,,,,,,
# Patients,"SequencesPerSample>9, Rx=Unknown",0,0.000%,,,,,,
# Patients,"SequencesPerSample>9, Rx=Unknown, Gene=PR",0,0.000%,,,,,,
# Patients,"SequencesPerSample>9, Rx=Unknown, Gene=RT",0,0.000%,,,,,,
# Patients,"SequencesPerSample>9, Rx=Unknown, Gene=IN",0,0.000%,,,,,,
# Patients,"SequencesPerSample>9, NumSample=1",150,67.873%,,,,,,
# Patients,"SequencesPerSample>9, NumSample>1",71,32.127%,,,,,,
# Samples (Patient Time Points),SequencesPerSample>9,450,,,,,,,
# Samples (Patient Time Points),"SequencesPerSample>9, Gene=PR",404,89.778%,,,,,,
# Samples (Patient Time Points),"SequencesPerSample>9, Gene=RT",429,95.333%,,,,,,
# Samples (Patient Time Points),"SequencesPerSample>9, Gene=IN",253,56.222%,,,,,,
# Samples (Patient Time Points),"SequencesPerSample>9, Subtype=B",297,66.000%,,,,,,
# Samples (Patient Time Points),"SequencesPerSample>9, Subtype=C",109,24.222%,,,,,,
# Samples (Patient Time Points),"SequencesPerSample>9, Subtype=Other",56,12.444%,,,,,,
# Samples (Patient Time Points),"SequencesPerSample>9, Rx=ART",39,8.667%,,,,,,
# Samples (Patient Time Points),"SequencesPerSample>9, Rx=None",411,91.333%,,,,,,
# Samples (Patient Time Points),"SequencesPerSample>9, Rx=Unknown",0,0.000%,,,,,,
Med. Samples per Patient,SequencesPerSample>9,1.0,,1.0,15.0,,,,IQR: 1.0 - 2.0; Mean: 2.0361990950226243
Med. Sequences per Sample,SequencesPerSample>9,18.0,,10.0,166.0,,,,IQR: 12.0 - 23.0; Mean: 20.724444444444444
# Mutations per Sample,"Gene=PR, Category=All",9.111386138613861,,,,,,,
# Mutations per Sample,"Gene=PR, Category=All, IsUnusual",0.3589108910891089,3.939%,,,,,,
# Mutations per Sample,"Gene=PR, Category=All, NumSequences>1",8.858910891089108,97.229%,,,,,,
# Mutations,"Gene=PR, Category=All, NumSequences=1, IsUnusual",45,31.034%,,,,,,
# Mutations,"Gene=PR, Category=All, NumSequences>1, IsUnusual",100,68.966%,,,,5.918460593233002e-06,,
# Mutations per Sample,"Gene=PR, Category=All, NumSequences=1, IsUnusual",0.11138613861386139,1.222%,,,,,,
# Mutations per Sample,"Gene=PR, Category=All, NumSequences>1, IsUnusual",0.24752475247524752,2.717%,,,,,,
# Uniq. Mutations,"Gene=PR, Category=All",319,,,,,,,
# Uniq. Mutations,"Gene=PR, Category=All, IsUnusual",79,24.765%,,,,,,
# Uniq. Mutations,"Gene=PR, Category=All, IsAPOBEC",19,,,,,,,
# Uniq. Mutations,"Gene=PR, Category=All, NumSequences>1",217,68.025%,,,,,,
# Uniq. Mutations,"Gene=PR, Category=All, NumSequences>1, IsUnusual",34,15.668%,,,,,,
# Uniq. Mutations,"Gene=PR, Category=All, NumSequences>1, IsAPOBEC",10,,,,,,,
Prevalence Correlation b/t SGS and HIVDB,"Gene=PR, Category=All",,,,,0.91069196587282,2.4400443404513894e-168,0.018493328444471012,
# Mutations per Sample,"Gene=RT, Category=All",13.804195804195805,,,,,,,
# Mutations per Sample,"Gene=RT, Category=All, IsUnusual",0.9114219114219114,6.602%,,,,,,
# Mutations per Sample,"Gene=RT, Category=All, NumSequences>1",13.181818181818182,95.491%,,,,,,
# Mutations,"Gene=RT, Category=All, NumSequences=1, IsUnusual",149,38.107%,,,,,,
# Mutations,"Gene=RT, Category=All, NumSequences>1, IsUnusual",242,61.893%,,,,2.229844092856494e-06,,
# Mutations per Sample,"Gene=RT, Category=All, NumSequences=1, IsUnusual",0.3473193473193473,2.516%,,,,,,
# Mutations per Sample,"Gene=RT, Category=All, NumSequences>1, IsUnusual",0.5641025641025641,4.086%,,,,,,
# Uniq. Mutations,"Gene=RT, Category=All",818,,,,,,,
# Uniq. Mutations,"Gene=RT, Category=All, IsUnusual",251,30.685%,,,,,,
# Uniq. Mutations,"Gene=RT, Category=All, IsAPOBEC",39,,,,,,,
# Uniq. Mutations,"Gene=RT, Category=All, NumSequences>1",551,67.359%,,,,,,
# Uniq. Mutations,"Gene=RT, Category=All, NumSequences>1, IsUnusual",102,18.512%,,,,,,
# Uniq. Mutations,"Gene=RT, Category=All, NumSequences>1, IsAPOBEC",34,,,,,,,
Prevalence Correlation b/t SGS and HIVDB,"Gene=RT, Category=All",,,,,0.8536748162774179,0.0,0.01585210448256634,
# Mutations per Sample,"Gene=IN, Category=All",17.07509881422925,,,,,,,
# Mutations per Sample,"Gene=IN, Category=All, IsUnusual",0.8300395256916996,4.861%,,,,,,
# Mutations per Sample,"Gene=IN, Category=All, NumSequences>1",16.110671936758894,94.352%,,,,,,
# Mutations,"Gene=IN, Category=All, NumSequences=1, IsUnusual",115,54.762%,,,,,,
# Mutations,"Gene=IN, Category=All, NumSequences>1, IsUnusual",95,45.238%,,,,0.18439133117324386,,
# Mutations per Sample,"Gene=IN, Category=All, NumSequences=1, IsUnusual",0.45454545454545453,2.662%,,,,,,
# Mutations per Sample,"Gene=IN, Category=All, NumSequences>1, IsUnusual",0.37549407114624506,2.199%,,,,,,
# Uniq. Mutations,"Gene=IN, Category=All",606,,,,,,,
# Uniq. Mutations,"Gene=IN, Category=All, IsUnusual",158,26.073%,,,,,,
# Uniq. Mutations,"Gene=IN, Category=All, IsAPOBEC",45,,,,,,,
# Uniq. Mutations,"Gene=IN, Category=All, NumSequences>1",362,59.736%,,,,,,
# Uniq. Mutations,"Gene=IN, Category=All, NumSequences>1, IsUnusual",43,11.878%,,,,,,
# Uniq. Mutations,"Gene=IN, Category=All, NumSequences>1, IsAPOBEC",23,,,,,,,
Prevalence Correlation b/t SGS and HIVDB,"Gene=IN, Category=All",,,,,0.8708713161034897,1.1749556781435642e-270,0.011090327722006828,
# Mutations per Sample,"Gene=PR, Category=SubtypeB",5.28960396039604,,,,,,,
# Mutations per Sample,"Gene=PR, Category=SubtypeB, IsUnusual",0.32425742574257427,6.130%,,,,,,
# Mutations per Sample,"Gene=PR, Category=SubtypeB, NumSequences>1",5.03960396039604,95.274%,,,,,,
# Mutations,"Gene=PR, Category=SubtypeB, NumSequences=1, IsUnusual",48,36.641%,,,,,,
# Mutations,"Gene=PR, Category=SubtypeB, NumSequences>1, IsUnusual",83,63.359%,,,,0.0025512749447392986,,
# Mutations per Sample,"Gene=PR, Category=SubtypeB, NumSequences=1, IsUnusual",0.1188118811881188,2.246%,,,,,,
# Mutations per Sample,"Gene=PR, Category=SubtypeB, NumSequences>1, IsUnusual",0.20544554455445543,3.884%,,,,,,
# Uniq. Mutations,"Gene=PR, Category=SubtypeB",283,,,,,,,
# Uniq. Mutations,"Gene=PR, Category=SubtypeB, IsUnusual",77,27.208%,,,,,,
# Uniq. Mutations,"Gene=PR, Category=SubtypeB, IsAPOBEC",17,,,,,,,
# Uniq. Mutations,"Gene=PR, Category=SubtypeB, NumSequences>1",182,64.311%,,,,,,
# Uniq. Mutations,"Gene=PR, Category=SubtypeB, NumSequences>1, IsUnusual",29,15.934%,,,,,,
# Uniq. Mutations,"Gene=PR, Category=SubtypeB, NumSequences>1, IsAPOBEC",8,,,,,,,
Prevalence Correlation b/t SGS and HIVDB,"Gene=PR, Category=SubtypeB",,,,,0.8797417802764448,2.890271359394027e-131,0.020578323793997155,
# Mutations per Sample,"Gene=RT, Category=SubtypeB",8.044289044289044,,,,,,,
# Mutations per Sample,"Gene=RT, Category=SubtypeB, IsUnusual",0.8764568764568764,10.895%,,,,,,
# Mutations per Sample,"Gene=RT, Category=SubtypeB, NumSequences>1",7.4475524475524475,92.582%,,,,,,
# Mutations,"Gene=RT, Category=SubtypeB, NumSequences=1, IsUnusual",143,38.032%,,,,,,
# Mutations,"Gene=RT, Category=SubtypeB, NumSequences>1, IsUnusual",233,61.968%,,,,2.356175692013047e-06,,
# Mutations per Sample,"Gene=RT, Category=SubtypeB, NumSequences=1, IsUnusual",0.3333333333333333,4.144%,,,,,,
# Mutations per Sample,"Gene=RT, Category=SubtypeB, NumSequences>1, IsUnusual",0.5431235431235432,6.752%,,,,,,
# Uniq. Mutations,"Gene=RT, Category=SubtypeB",711,,,,,,,
# Uniq. Mutations,"Gene=RT, Category=SubtypeB, IsUnusual",240,33.755%,,,,,,
# Uniq. Mutations,"Gene=RT, Category=SubtypeB, IsAPOBEC",37,,,,,,,
# Uniq. Mutations,"Gene=RT, Category=SubtypeB, NumSequences>1",455,63.994%,,,,,,
# Uniq. Mutations,"Gene=RT, Category=SubtypeB, NumSequences>1, IsUnusual",97,21.319%,,,,,,
# Uniq. Mutations,"Gene=RT, Category=SubtypeB, NumSequences>1, IsAPOBEC",28,,,,,,,
Prevalence Correlation b/t SGS and HIVDB,"Gene=RT, Category=SubtypeB",,,,,0.7493930692490635,3.033548600770744e-215,0.020772137971611017,
# Mutations per Sample,"Gene=IN, Category=SubtypeB",6.375494071146245,,,,,,,
# Mutations per Sample,"Gene=IN, Category=SubtypeB, IsUnusual",0.9802371541501976,15.375%,,,,,,
# Mutations per Sample,"Gene=IN, Category=SubtypeB, NumSequences>1",5.533596837944664,86.795%,,,,,,
# Mutations,"Gene=IN, Category=SubtypeB, NumSequences=1, IsUnusual",139,56.048%,,,,,,
# Mutations,"Gene=IN, Category=SubtypeB, NumSequences>1, IsUnusual",109,43.952%,,,,0.05528287206125147,,
